song,spotify uri_code,img
Mmm Yeah (feat. Pitbull),spotify:track:2n3CaPGPLYnYAvTEwKCX8t,https://i.scdn.co/image/ab67616d0000b273b8509a3d905deebb1c9232fb
Money (That's What I Want),spotify:track:3zw4FTrVNfy2teEkV9FOvh,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
Money Trees,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797
Mr. Blue Sky,spotify:track:2RlgNHKcydI9sayD2Df2xp,https://i.scdn.co/image/ab67616d0000b2738c4e95986c803791125e8991
Mr. Rager,spotify:track:393MDhe62s8hbH8ETrlxe5,https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815
NICE OUT,spotify:track:47k1Ox90yk7EicCAd3QDhc,https://i.scdn.co/image/ab67616d0000b2735406f784d9a47154dadf8cb7
Napkins,spotify:track:0YvzawIC5nFFYj5YAvv5HP,https://i.scdn.co/image/ab67616d0000b273cbd5d8d25bb9ed4f81c2911a
Neighbors,spotify:track:0utlOiJy2weVl9WTkcEWHy,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e
Ni**as In Paris,spotify:track:1auxYwYrFRqZP7t3s7w4um,https://i.scdn.co/image/ab67616d0000b27352e61456aa4995ba48d94e30
Nikes on My Feet,spotify:track:7cAFB83sEKAmwekVvQtGZj,https://i.scdn.co/image/ab67616d0000b2739d37f979163154904099eece
No Flockin',spotify:track:34oWbFBfGEElvgO0a5c9V4,https://i.scdn.co/image/ab67616d0000b27318f77961dfb9d67895bd9ddb
No Reply - Remastered 2009,spotify:track:4ltC6PrqkTtpcRNi5lvS4z,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375
Norwegian Wood (This Bird Has Flown) - Remastered 2009,spotify:track:1H7gMYGykdtwZOV6s1N0by,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
Old Time Rock & Roll,spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,https://i.scdn.co/image/ab67616d0000b273ef063cb80508c55eb443a671
On The Floor,spotify:track:20zQZVyUNPbq8kZACdgYrh,https://i.scdn.co/image/ab67616d0000b273ac888ad505c39f50656eac16
One Way Or Another,spotify:track:59CLe8stbcx4XYBWdsfbwK,https://i.scdn.co/image/ab67616d0000b273ace2bedb8e6cfa04207d5c0f
Only A Fool Would Say That,spotify:track:7GVvj4zJNVuBJSl6StEfn5,https://i.scdn.co/image/ab67616d0000b2730ddd7e736f870994f4707947
Paint It Black,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694
Paparazzi,spotify:track:7Hqig8kp32q2Ire3ECQvWM,https://i.scdn.co/image/ab67616d0000b273631810af03785dbad83f5c81
Paper Planes,spotify:track:1ixbwbeBi5ufN4noUKmW5a,https://i.scdn.co/image/ab67616d0000b273310d9098fbbde47bf7785637
Paradise City,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
Party In The U.S.A.,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103
Penny Lane,spotify:track:1sjmKmR4u9xDeJHjDCn2bZ,https://i.scdn.co/image/ab67616d0000b273c92b57b8307e5999ec2fed69
